5.203,9.508,0.985,0.397,8.922,3.185,7.455,3.890,8.955,1.429,8.791,3.568,1.526,9.796,1.778,8.921,0.350,5.153,7.767,9.698,0.007,2.432,3.507,5.203,8.861,0.802,5.275,2.531,2.181,2.608,0.084,4.786,1.227,8.237,0.531,3.338,4.554,8.320,3.200,9.744
9.564,6.737,7.853,3.695,2.009,5.262,8.169,2.928,5.867,7.246,2.297,1.390,4.731,4.454,5.134,8.973,9.543,7.828,1.993,9.644,9.184,4.191,4.067,8.831,5.200,1.286,6.569,2.545,8.328,1.386,9.366,0.268,1.527,3.024,9.880,7.338,9.498,0.422,5.463,8.833
3.005,3.704,8.457,9.786,2.312,6.580,5.019,3.962,2.394,4.871,2.537,7.171,0.126,6.512,3.625,0.231,8.797,9.064,3.836,2.496,9.290,2.892,9.436,5.775,9.906,4.733,5.504,5.115,6.313,3.975,5.649,6.081,1.957,7.058,7.918,8.037,2.875,5.172,0.387,3.511
6.318,9.082,9.392,2.309,6.468,6.557,1.233,2.953,5.023,2.954,0.240,7.381,1.525,5.943,4.898,4.649,9.967,0.056,3.898,1.151,4.823,0.148,8.291,7.651,8.735,4.299,7.691,5.092,3.876,5.329,4.058,5.335,6.220,1.646,7.972,9.354,6.245,3.685,1.077,9.206
6.916,6.176,2.744,5.324,9.859,9.683,7.819,9.481,4.473,0.237,6.617,6.211,8.254,1.006,0.375,3.776,3.221,1.850,1.885,3.102,4.418,9.689,0.399,4.327,5.851,1.695,5.680,9.712,4.107,3.752,6.805,8.869,5.686,4.611,3.808,1.189,6.468,4.456,7.800,4.727
2.816,5.273,2.417,9.938,4.409,8.359,0.315,5.289,2.754,7.409,7.716,8.396,3.336,1.895,2.649,2.597,8.661,3.973,9.428,4.302,9.655,9.580,4.280,6.573,4.611,6.116,1.310,3.112,3.892,1.859,1.487,9.523,1.083,0.942,2.082,7.310,0.159,7.862,6.632,0.049
2.019,4.447,7.606,7.305,5.058,9.699,6.118,2.068,5.123,2.224,7.109,0.551,1.690,3.587,9.780,0.176,3.495,8.871,4.691,6.981,8.562,1.320,5.766,1.884,2.274,0.413,8.560,2.767,6.126,7.198,1.488,8.862,9.177,5.567,5.515,5.392,0.416,3.640,7.750,6.288
3.924,9.308,4.211,2.874,3.961,6.531,7.701,6.928,9.038,9.803,1.888,2.707,5.810,0.395,3.824,2.544,9.985,5.038,6.528,0.762,7.362,6.035,2.912,3.493,8.440,5.296,9.539,8.671,6.241,6.956,2.781,0.157,5.001,0.993,4.647,5.430,7.979,4.380,4.485,6.205
4.127,4.064,5.626,0.430,7.960,8.161,9.828,0.366,1.966,8.993,9.169,1.949,7.435,0.197,7.860,9.861,2.513,7.399,3.667,2.061,7.634,2.147,1.609,2.866,5.402,1.400,6.480,8.514,2.420,1.452,3.811,3.784,1.346,1.781,5.830,1.899,0.462,5.578,6.688,5.178
4.744,1.204,1.131,2.790,4.932,4.270,3.470,2.337,7.989,6.418,5.472,1.898,8.003,9.337,6.711,9.920,5.168,9.462,7.940,4.636,2.032,6.466,2.992,3.316,3.199,6.299,1.304,0.622,8.745,1.575,2.207,6.670,6.786,5.206,0.641,2.614,2.443,5.619,0.789,3.174
0.011,2.904,4.332,3.009,8.853,4.921,7.443,7.692,0.626,4.358,1.048,0.454,6.328,1.709,9.861,1.802,6.239,5.962,3.770,0.610,9.642,5.906,6.418,2.552,2.569,4.143,8.404,0.381,3.028,4.747,6.778,7.309,3.268,2.264,2.261,4.845,0.783,8.465,0.818,2.607
2.230,8.960,5.054,4.095,9.785,6.059,2.176,3.940,4.187,3.302,8.912,5.213,4.372,3.725,7.993,4.029,5.757,0.527,6.158,4.485,7.600,6.636,5.691,7.461,3.389,3.524,2.625,3.069,0.708,1.407,5.678,7.915,7.034,3.800,9.945,5.711,4.557,1.670,9.216,2.634
3.999,1.557,7.956,1.757,6.137,1.073,3.678,4.707,2.534,7.492,2.108,0.122,9.119,7.421,9.531,1.152,4.743,8.108,7.611,3.167,6.962,3.274,2.825,6.817,5.616,6.872,4.186,7.297,8.313,5.407,2.172,0.813,5.395,9.695,1.515,3.023,8.719,8.860,5.397,2.400
2.649,4.226,1.064,3.302,5.462,4.932,0.658,7.464,7.126,0.744,0.314,4.379,2.281,1.987,5.358,1.310,3.058,8.636,1.642,7.188,3.629,1.749,5.330,5.120,5.608,7.816,6.947,7.559,7.278,6.083,5.847,7.834,8.378,7.161,1.570,8.818,8.516,9.901,9.794,0.050
9.330,4.490,8.637,0.808,7.856,2.673,6.738,9.667,1.831,4.200,5.720,4.764,2.993,3.072,2.538,5.501,1.132,9.858,1.226,9.647,9.101,1.742,1.064,6.797,6.611,9.653,3.388,7.537,2.014,1.678,4.447,8.778,3.928,9.909,7.173,5.788,3.949,9.804,5.532,3.336
7.050,2.074,1.084,3.444,7.085,1.468,0.980,2.669,3.504,4.441,3.723,3.718,2.689,5.998,9.418,3.752,6.738,7.555,9.369,2.102,2.396,7.452,4.413,2.970,4.187,1.688,2.451,0.722,3.920,5.796,7.975,2.086,9.907,1.914,6.344,4.789,0.849,0.978,7.642,1.535
5.777,1.333,2.725,0.023,6.011,3.362,5.179,8.178,2.979,5.149,4.087,8.200,2.721,8.048,5.040,0.626,6.162,9.959,9.440,9.957,8.916,4.249,8.240,9.107,0.075,1.031,9.768,8.644,2.128,6.535,1.209,9.597,2.927,2.520,2.234,5.263,1.740,2.370,6.902,2.943
8.285,0.824,6.474,4.496,8.819,0.559,8.232,6.547,5.556,4.740,6.255,0.422,3.903,4.868,9.123,3.814,5.159,3.784,6.492,5.363,5.006,2.079,7.451,6.419,7.335,4.757,0.659,9.922,7.473,3.255,7.213,4.813,9.623,2.432,7.570,9.052,5.508,5.997,8.829,3.684
3.977,0.395,6.909,0.641,6.046,7.419,8.498,1.702,2.909,4.824,0.947,0.101,3.152,8.945,9.952,1.549,3.132,3.869,1.770,3.889,0.403,9.739,3.547,8.575,1.764,9.352,5.326,1.325,3.718,7.414,8.578,9.766,4.466,8.419,1.476,0.970,6.437,6.591,2.866,8.400
4.567,3.133,4.434,1.834,3.611,0.242,6.402,6.928,8.693,2.906,4.266,8.393,8.595,7.517,2.649,5.405,3.460,8.321,8.312,1.961,1.365,5.470,5.976,1.679,2.628,2.541,3.408,9.909,5.545,5.316,7.885,7.323,3.386,9.254,0.028,0.065,5.068,9.201,7.146,6.382
3.589,5.030,3.525,0.471,8.305,9.857,6.317,4.662,3.836,1.860,5.748,2.460,3.107,1.049,4.686,3.429,3.333,6.520,7.980,5.062,6.826,6.539,4.774,0.409,1.718,0.465,9.643,6.049,9.636,5.198,3.382,7.687,1.303,9.429,6.658,1.297,3.108,2.937,8.678,4.545
4.274,7.170,9.038,1.066,5.729,2.348,2.962,1.615,7.909,0.048,8.348,2.548,8.006,7.527,3.878,1.841,1.492,5.035,3.453,4.663,2.385,8.044,0.855,1.867,6.063,8.948,0.904,0.387,3.607,2.446,6.436,9.175,2.542,4.036,5.797,1.481,7.867,1.626,7.503,8.403
0.847,3.924,7.713,1.660,8.455,9.420,3.436,2.156,2.521,6.001,1.194,4.166,7.641,7.171,5.973,3.313,4.597,0.470,5.634,4.464,4.292,5.804,6.414,7.380,0.140,5.534,4.900,1.563,3.388,9.559,8.446,1.364,5.212,2.242,9.935,3.084,6.448,1.012,7.761,4.743
6.874,1.195,7.390,6.541,4.119,2.081,7.032,7.626,1.170,5.688,6.446,8.082,9.338,8.677,9.232,8.594,1.472,0.612,0.490,1.287,9.222,6.861,0.421,9.406,3.973,4.245,3.055,1.502,1.907,9.481,2.508,3.573,9.120,5.650,0.630,9.713,9.743,4.184,6.162,8.855
0.980,6.897,4.579,6.639,4.168,6.283,8.487,0.372,6.327,0.322,8.094,8.125,4.465,2.222,0.118,5.805,5.314,1.102,2.900,8.013,6.612,9.359,3.854,4.564,5.517,3.524,5.963,2.150,3.232,6.513,7.043,2.846,9.310,2.875,0.637,4.749,1.440,6.352,0.831,1.960
6.489,5.255,8.522,9.324,1.939,7.125,4.796,0.710,5.871,0.925,8.835,7.309,5.313,9.810,1.253,0.084,6.516,6.360,0.917,0.013,8.586,3.910,3.192,7.541,7.418,1.295,8.548,4.804,1.600,2.341,1.942,9.753,6.758,8.382,0.224,0.308,3.977,7.570,8.748,5.663
9.428,6.099,5.680,4.657,8.006,0.909,8.188,3.822,8.551,4.948,7.898,4.053,5.647,3.017,2.094,3.000,9.453,5.300,8.462,5.195,2.418,9.312,4.179,4.535,5.603,7.442,3.278,3.606,0.410,9.447,0.327,6.325,0.722,3.207,2.635,6.271,8.068,0.232,7.754,6.228
9.378,2.628,1.192,1.276,1.845,3.313,7.980,9.792,6.371,7.224,5.620,6.566,0.116,9.068,3.568,3.643,2.842,2.029,4.250,7.334,3.579,8.612,8.719,9.201,6.807,1.146,1.315,2.513,1.078,3.497,3.390,1.660,7.102,7.730,9.158,6.287,6.558,3.116,9.286,3.985
